Doelsoort;LfMD;Nr MD;MD;Code;"Jaar/
fase";Domein;Subdomein;Cluster;Leerplandoel;Voorbeelden;Woordenschat (richtinggevend);HOR COH binnen de discipline (wat op hetzelfde moment gebeurt) Verplicht;HOR COH met andere disciplines (wat op hetzelfde moment gebeurt);HOR COH binnen de discipline (wat op hetzelfde moment gebeurt) suggestief;"Dit LP-doel komt net na [code]
(= voorgaande doel)";"Dit LP-doel komt net voor [code]
(= volgende doel)"
G;4-;7.1.3;4-7.1.3;7.2.GL4.9;L4.;Grootmotorische competenties;Grootmotorische vaardigheden;Bal- en dingvaardigheden;De leerlingen kunnen mikken naar kleinere doelen en daarbij kracht en richting aanpassen.;Kegelen, ringwerpen;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL4.10;L4.;Grootmotorische competenties;Grootmotorische vaardigheden;Bal- en dingvaardigheden;De leerlingen kunnen een voorwerp drijven met of zonder slagmateriaal.;Hockey met stick, bal voortduwen met stok.;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL4.11;L4.;Grootmotorische competenties;Grootmotorische vaardigheden;Bal- en dingvaardigheden;De leerlingen kunnen in bewegingscontexten werpen, vangen en trappen.;;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL1.11;L1.;Grootmotorische competenties;Grootmotorische vaardigheden;Heffen en dragen;De leerlingen kunnen samenwerken bij het dragen van groter materiaal.;Een dikke mat;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL2.11;L2.;Grootmotorische competenties;Grootmotorische vaardigheden;Heffen en dragen;De leerlingen kunnen onderscheid maken tussen tillen met armen en tillen met steun van benen (eerste notie van juiste heftechniek).;;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL3.11;L3.;Grootmotorische competenties;Grootmotorische vaardigheden;Heffen en dragen;De leerlingen kunnen materialen rugsparend heffen: buigen door knieën, rechte rug, dicht bij het lichaam.;;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL3.12;L3.;Grootmotorische competenties;Grootmotorische vaardigheden;Heffen en dragen;De leerlingen kunnen materialen bewust neerzetten zonder te laten vallen.;;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL4.12;L4.;Grootmotorische competenties;Grootmotorische vaardigheden;Heffen en dragen;De leerlingen  kunnen in bewegingscontexten grootmotorische vaardigheden toepassen : heffen en dragen.;;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL1.12;L1.;Grootmotorische competenties;Grootmotorische vaardigheden;Rotaties;De leerlingen kunnen roteren rond lichaams- en toestelassen in eenvoudige bewegingscontexten.;;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL2.12;L2.;Grootmotorische competenties;Grootmotorische vaardigheden;Rotaties;De leerlingen kunnen een voorwaartse rol uitvoeren op een horizontaal vlak.;;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL3.13;L3.;Grootmotorische competenties;Grootmotorische vaardigheden;Rotaties;De leerlingen kunnen een voorwaartse rol zelfstandig uitvoeren op mat en rechtkomen zonder handen te plaatsen.;;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL4.13;L4.;Grootmotorische competenties;Grootmotorische vaardigheden;Rotaties;De leerlingen kunnen in bewegingscontexten grootmotorische vaardigheden toepassen : roteren.;;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL1.13;L1.;Grootmotorische competenties;Grootmotorische vaardigheden;Stappen en lopen;De leerlingen kunnen stappen en lopen aanpassen aan eenvoudige opdrachten en spelcontexten.;Lopen naar een doel, iemand volgen, stappen over lage hindernissen.;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL2.13;L2.;Grootmotorische competenties;Grootmotorische vaardigheden;Stappen en lopen;De leerlingen kunnen stappen en lopen combineren met stoppen, draaien en ontwijken in speelse bewegingscontexten.;;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL2.14;L2.;Grootmotorische competenties;Grootmotorische vaardigheden;Stappen en lopen;De leerlingen kunnen stappen en lopen combineren met stoppen, draaien en ontwijken in speelse bewegingscontexten.;;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL3.14;L3.;Grootmotorische competenties;Grootmotorische vaardigheden;Stappen en lopen;De leerlingen kunnen stappen en lopen efficiënt aanpassen aan veranderende spel- en bewegingssituaties.;Vrijlopen, afstand inschatten, tempo aanpassen.;;;;;;
G;4-;7.1.3;4-7.1.3;7.2.GL4.14;L4.;Grootmotorische competenties;Grootmotorische vaardigheden;Stappen en lopen;De leerlingen kunnen in bewegingscontexten stappen en lopen.;;;;;;;
MD;4-;7.1.2;4-7.1.2;7.2.MD;;Grootmotorische competenties;Grootmotorische vaardigheden;;De leerlingen kunnen in bewegingscontexten motorische basisvaardigheden ontwikkelen, gebruikmakend van diverse toestellen en materialen.;;;;;;;
MD;4-;7.1.3;4-7.1.3;7.2.MD;;Grootmotorische competenties;Grootmotorische vaardigheden;;De leerlingen kunnen in bewegingscontexten grootmotorische vaardigheden toepassen, waaronder heffen en dragen, klimmen en klauteren, rijden en glijden, sluipen en kruipen, springen en landen, stappen en lopen, werpen, vangen en trappen, zwieren, balanceren en roteren;;;;;;;
G;6-;7.1.1/7.1.2;6-7.1.1/7.1.2;7.2.GL5.1;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Klimmen, klauteren, kruipen en sluipen;De leerlingen kunnen strategieën kiezen (welke steunpunten, welke volgorde) om efficiënt te klimmen/klauteren.;;;;;;;
G;6-;7.1.1/7.1.2;6-7.1.1/7.1.2;7.2.GL6.1;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;Klimmen, klauteren, kruipen en sluipen;De leerlingen kunnen in complexere bewegingssituaties grootmotorische vaardigheden toepassen: klimmen, klauteren,sluipen en kruipen.;;;;;;;
G;6-;7.1.1/7.1.2;6-7.1.1/7.1.2;7.2.GL5.2;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Hangen, schommelen, zwieren;De leerlingen kunnen sprongen en overgangen uitvoeren vanuit een zwaai of zwier naar een gecontroleerde landing of een nieuw toestel;Slingeren en loslaten, schommel → mat;;;;;;
G;6-;7.1.1/7.1.2;6-7.1.1/7.1.2;7.2.GL5.3;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Hangen, schommelen, zwieren;De leerlingen kunnen een zwaaibeweging ritmisch onderhouden en gecontroleerd afremmen.;Slingeren aan een touw of trapeze.;;;;;;
G;6-;7.1.1/7.1.2;6-7.1.1/7.1.2;7.2.GL5.4;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Hangen, schommelen, zwieren;De leerlingen kunnen zwaaien en zwieren met variatie in amplitude, tempo.;Grote zwaaien op touw of trapeze, ringen;;;;;;
G;6-;7.1.1/7.1.2;6-7.1.1/7.1.2;7.2.GL6.2;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;Hangen, schommelen, zwieren;De leerlingen kunnen in complexere bewegingssituaties grootmotorische vaardigheden toepassen: zwieren;;;;;;;
G;6-;7.1.1/7.1.2;6-7.1.1/7.1.2;7.2.GL5.5;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Diverse sprongen;De leerlingen kunnen gecontroleerd springen met aanloop en afstoot.;Verspringen, springen op/over een plint of bok.;;;;;;
G;6-;7.1.1/7.1.2;6-7.1.1/7.1.2;7.2.GL5.6;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Diverse sprongen;De leerlingen kunnen sprongen op en over toestellen uitvoeren.;Steunsprongen over kast of bok.;;;;;;
G;6-;7.1.1/7.1.2;6-7.1.1/7.1.2;7.2.GL6.3;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;Diverse sprongen;De leerlingen kunnen zelfstandig veiligheidsaspecten toepassen bij afstoten (juist steunpunt, correcte arm- en beenzwaai) en landen (doorbuigen, dempen).;;;;;;;
G;6-;7.1.1/7.1.2;6-7.1.1/7.1.2;7.2.GL6.4;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;Diverse sprongen;De leerlingen kunnen in complexere bewegingssituaties grootmotorische vaardigheden toepassen: springen en landen.;;;;;;;
G;6-;7.1.1/7.1.2;6-7.1.1/7.1.2;7.2.GL5.7;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Rijden en glijden;De leerlingen kunnen complexe trajecten rijden met nauwkeurige bochten, slaloms en snelheidswissels.;;;;;;;
G;6-;7.1.1/7.1.2;6-7.1.1/7.1.2;7.2.GL5.8;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Rijden en glijden;De leerlingen kunnen risico’s inschatten en veilige keuzes maken tijdens rijd- en glijopdrachten.;;;;;;;
G;6-;7.1.1/7.1.2;6-7.1.1/7.1.2;7.2.GL6.5;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;Rijden en glijden;De leerlingen kunnen in complexere bewegingssituaties grootmotorische vaardigheden toepassen: rijden en glijden.;;;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL5.9;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Bal- en dingvaardigheden;De leerlingen kunnen passen en vangen in spelsituaties met tegenstanders.;Tik- en doelspelen;;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL5.10;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Bal- en dingvaardigheden;De leerlingen kunnen dribbelen in combinatie met richtingsveranderingen, versnellen en afremmen.;;;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL6.6;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;Bal- en dingvaardigheden;De leerlingen kunnen bal- en dingvaardigheden functioneel inzetten in sport- en spelcontexten.;Basketbal, voetbal, volleybal, hockey, trefbal, jagersbal…;;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL6.7;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;Bal- en dingvaardigheden;De leerlingen kunnen in complexere bewegingssituaties grootmotorische vaardigheden toepassen: werpen, vangen en trappen.;;;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL5.11;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Balanceren;De leerlingen kunnen eenvoudige partnerbalansoefeningen uitvoeren.;Piramides per 2 of 3;;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL5.12;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Balanceren;De leerlingen kunnen in samenwerking met anderen balansfiguren opbouwen.;Acrogym-piramides, groepsbalans op een wipplank;;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL6.8;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;Balanceren;De leerlingen kunnen in complexere bewegingssituaties grootmotorische vaardigheden toepassen: balanceren.;;;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL5.13;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Heffen en dragen;De leerlingen kunnen inschatten of een last te zwaar is om alleen te tillen en hulp vragen.;;;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL5.14;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Heffen en dragen;De leerlingen kunnen het materiaal verplaatsen op de meest efficiënte manier. ;"Rollen, dragen, schuiven en tillen als functionele strategieën combineren, afhankelijk van het materiaal en de situatie.
";;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL6.9;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;Heffen en dragen;De leerlingen kunnen op een veilige rugsparende manier opbouwen en opruimen.;Materialen of piramides;;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL6.10;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;Heffen en dragen;De leerlingen kunnen in complexere bewegingssituaties grootmotorische vaardigheden toepassen: heffen en dragen.;;;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL5.15;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Rotaties;De leerlingen kunnen rotaties combineren.;Voorwaartse rol gevolgd door draaien om lengteas.;;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL5.16;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Rotaties;De leerlingen kunnen complexere rotaties uitvoeren.;Radslag…;;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL6.11;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;Rotaties;De leerlingen kunnen in complexere bewegingssituaties grootmotorische vaardigheden toepassen: roteren.;;;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL5.17;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Stappen en lopen;De leerlingen kunnen stappen en lopen combineren met tactische keuzes binnen spel- en sportcontexten.;Vrijlopen bij aanval, meeschuiven bij verdediging.;;;;;;
G;6-;7.1.2;6-7.1.2;7.2.GL6.12;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;Stappen en lopen;De leerlingen kunnen in complexere bewegingssituaties grootmotorische vaardigheden toepassen: stappen en lopen.;;;;;;;
G;6-;7.1.1;6-7.1.1;7.2.GL6.13;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;;De leerlingen kunnen in bewegingscontexten motorische basisvaardigheden beheersen en in combinatie uitvoeren, gebruikmakend van diverse toestellen en materialen.;;;;;;;
MD;6-;7.1.1;6-7.1.1;7.2.MD;;Grootmotorische competenties;Grootmotorische vaardigheden;;De leerlingen kunnen in bewegingscontexten motorische basisvaardigheden beheersen en in combinatie uitvoeren, gebruikmakend van diverse toestellen en materialen.;;;;;;;
MD;6-;7.1.2;6-7.1.2;7.2.MD;;Grootmotorische competenties;Grootmotorische vaardigheden;;De leerlingen kunnen in bewegingscontexten grootmotorische vaardigheden toepassen waaronder heffen en dragen, klimmen en klauteren, rijden en glijden, sluipen en kruipen, springen en landen, stappen en lopen, werpen, vangen en trappen, zwieren, balanceren en roteren in complexere bewegingssituaties.;;;;;;;
G;6-;7.1.4/7.1.5;6-7.1.4/7.1.5;7.2.GL5.18;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Sport en spel;De leerlingen kunnen strategisch handelen binnen spelideeën.;Snel omschakelen na balverlies of -winst.;;;;;;
G;6-;7.1.4/7.1.5;6-7.1.4/7.1.5;7.2.GL5.19;L5.;Grootmotorische competenties;Grootmotorische vaardigheden;Sport en spel;De leerlingen spelen afgeleide vormen van sportspelen met een beperkt aantal spelers en tegenspelers.;;;;;;;
G;6-;7.1.4/7.1.5;6-7.1.4/7.1.5;7.2.GL6.14;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;Sport en spel;De leerlingen ervaren hoe sportspelen behoren tot de eigen en/of andermans cultuur.;G-sport, Sherborne;;;;;;
G;6-;7.1.4;6-7.1.4;7.2.GL6.15;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;Sport en spel;De leerlingen kunnen in bewegingscontexten verschillende (aangepaste) sport-, spel- en bewegingsactiviteiten uitvoeren door zelfstandig oplossingen voor een bewegings- of spelprobleem te zoeken.;;;;;;;
G;6-;7.1.5;6-7.1.5;7.2.GL6.16;L6.;Grootmotorische competenties;Grootmotorische vaardigheden;Sport en spel;De leerlingen kunnen in bewegingscontexten elementaire tactische principes demonstreren in aangepaste spelvormen (aanval, verdediging en omschakeling).;;;;;;;
MD;6-;7.1.4;6-7.1.4;7.2.MD;;Grootmotorische competenties;Grootmotorische vaardigheden;;De leerlingen kunnen in bewegingscontexten verschillende (aangepaste) sport-, spel- en bewegingsactiviteiten uitvoeren door zelfstandig oplossingen voor een bewegings- of spelprobleem te zoeken.;;;;;;;
MD;6-;7.1.5;6-7.1.5;7.2.MD;;Grootmotorische competenties;Grootmotorische vaardigheden;;De leerlingen kunnen in bewegingscontexten elementaire tactische principes demonstreren in aangepaste spelvormen (aanval, verdediging en omschakeling).;;;;;;;
P;K-;7.1.3;K-7.1.3;7.2.PF3.19;F3.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerling kan kracht gebruiken om eenvoudige dagelijkse bewegingen uit te voeren.;Duwen van een deur, trekken aan een touw, een loopkar voortduwen.;;;;;;
P;K-;7.1.3;K-7.1.3;7.2.PF3.20;F3.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerling kan kracht gebruiken om materiaal te manipuleren in spelcontexten.;Bal wegduwen, grote blokken stapelen. Speelgoed naar zich toe trekken.;;;;;;
P;K-;7.1.3;K-7.1.3;7.2.PF3.21;F3.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerling kan een bewegingsactiviteit volhouden met ondersteuning.;Stapt mee met de begeleide, blijft duwen tegen een zachte bal, blijft bewegen met aanmoediging.;;;;;;
P;K-;7.1.3;K-7.1.3;7.2.PF3.22;F3.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerling kan doorzetten bij een functionele verplaatsing.;Een stukje van een wandeling doorstappen, ook als ze vermoeid raken.;;;;;;
G;K-;7.1.3;K-7.1.3;7.2.GJK.15;JK.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerlingen ontdekken de KLUSCE-componenten in eenvoudige bewegingscontexten.;;;;;;;
G;K-;7.1.3;K-7.1.3;7.2.GK2.15;K2.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerlingen kunnen in eenvoudige bewegingscontexten de eigen mogelijkheden ontdekken van de KLUSCE-componenten.;;;;;;;
G;K-;7.1.3;K-7.1.3;7.2.GK3.30;K3.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerlingen kunnen de KLUSCE-componenten gecombineerd gebruiken binnen eenvoudige bewegingscontexten.;;;;;;;
G;K-;7.1.3;K-7.1.3;7.2.GK3.31;K3.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerlingen kunnen in bewegingscontexten de KLUSCE-componenten kracht, lenigheid, uithouding, snelheid, coördinatie en evenwicht inzetten.*;;;;;;;
MD;K-;7.1.3;K-7.1.3;7.2.MD;;Grootmotorische competenties;Fysieke vaardigheden;;De kleuters kunnen in bewegingscontexten de KLUSCE-componenten kracht, lenigheid, uithouding, snelheid, coördinatie en evenwicht inzetten.*;;;;;;;
S;K-;7.1.3;K-7.1.3;7.2.SF4.10;F4.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerling kan zijn/haar beschikbare spierkracht inzetten om houdingen te behouden.;Blijft rechtstaan, zit stabiel op een bank, blijft geknield tijdens spel.;;;;;;
S;K-;7.1.3;K-7.1.3;7.2.SF4.11;F4.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerling kan zijn/haar beschikbare spierkracht inzetten om houdingen te behouden.;Blijft rechtstaan, zit stabiel op een bank, blijft geknield tijdens spel.;;;;;;
S;;;;7.2.SF5.7;F5.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerling kan binnen dagelijkse bewegingssituaties zijn/haar kracht, lenigheid, uithouding, snelheid, coördinatie en evenwicht inzetten op een manier die hen toelaat om activiteiten vol te houden.;Blijft meespelen op de speelplaats, voert dagelijkse bewegingsactiviteit uit en houdt vol tot het einde, blijft deelnemen aan bewegingsspel.;;;;;;
S;4-;7.1.4/7.1.7;4-7.1.4/7.1.7;7.2.SF5.8;F5.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerling kan binnen dagelijkse bewegingssituaties zijn/haar kracht, lenigheid, uithouding, snelheid, coördinatie en evenwicht inzetten op een manier die hen toelaat om zich functioneel te verplaatsen.;Loopt door de gang, gaat mee wandelen/fietsen, verplaatst zich door de school.;;;;;;
S;4-;7.1.4/7.1.7;4-7.1.4/7.1.7;7.2.SF5.9;F5.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerling kan binnen dagelijkse bewegingssituaties zijn/haar kracht, lenigheid, uithouding, snelheid, coördinatie en evenwicht inzetten op een manier die hen toelaat om veilig deel te nemen aan spel en routines.;Neemt deel aan buitenspel, beweegt veilig tussen anderen, past tempo aan in groep.;;;;;;
G;4-;7.1.4/7.1.7;4-7.1.4/7.1.7;7.2.GL1.14;L1.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerlingen kunnen functionele kracht gebruiken bij klimmen, duwen, trekken en ondersteunen van lichaamsgewicht.;;;;;;;
G;4-;7.1.4/7.1.7;4-7.1.4/7.1.7;7.2.GL2.15;L2.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerlingen kunnen hun snelheid variëren.;Versnellen, vertragen, ritme aanpassen, sprint, duurloop.;;;;;;
G;4-;7.1.4/7.1.7;4-7.1.4/7.1.7;7.2.GL2.16;L2.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerlingen kunnen lage-intensiteitsbewegingen langer volhouden .;Wandelen, joggen, Léger-test, interval, aflossing…;;;;;;
G;4-;7.1.4/7.1.7;4-7.1.4/7.1.7;7.2.GL3.15;L3.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerlingen kunnen coördinatie en evenwicht combineren bij eenvoudige parcoursen of toestellen.;;;;;;;
G;4-;7.1.4/7.1.7;4-7.1.4/7.1.7;7.2.GL4.15;L4.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerlingen kunnen in bewegingscontexten bewegingen een bepaalde tijd aan een opgelegd tempo volhouden.;;;;;;;
G;4-;7.1.4;4-7.1.4;7.2.GL4.16;L4.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerlingen kunnen in bewegingscontexten de KLUSCE-componenten kracht, lenigheid, uithouding, snelheid, coördinatie en evenwicht gecombineerd gebruiken.;;;;;;;
G;4-;7.1.7;4-7.1.7;7.2.GL4.17;L4.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerlingen kunnen in bewegingscontexten bewegingen een bepaalde tijd aan een opgelegd tempo volhouden.;;;;;;;
MD;4-;7.1.4;4-7.1.4;7.2.MD;;Grootmotorische competenties;Fysieke vaardigheden;;De leerlingen kunnen in bewegingscontexten de KLUSCE-componenten kracht, lenigheid, uithouding, snelheid, coördinatie en evenwicht gecombineerd gebruiken.*;;;;;;;
MD;4-;7.1.7;4-7.1.7;7.2.MD;;Grootmotorische competenties;Fysieke vaardigheden;;De leerlingen kunnen in bewegingscontexten bewegingen een bepaalde tijd aan een opgelegd tempo volhouden.*;;;;;;;
G;6-;7.1.3;6-7.1.3;7.2.GL5.20;L5.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerlingen kunnen complexere coördinaties uitvoeren.;Hink-stap-sprong, draaibewegingen, ritmische patronen;;;;;;
G;6-;7.1.3;6-7.1.3;7.2.GL5.21;L5.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerlingen kunnen duurbewegingen aan een gelijkmatig tempo volhouden.;Duurloop;;;;;;
G;6-;7.1.3;6-7.1.3;7.2.GL6.17;L6.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerlingen kunnen kracht, lenigheid, uithouding, snelheid, corördinatie en evenwicht functioneel inzetten en volhouden in verschillende bewegingsactiviteiten.;Duurloop;;;;;;
G;6-;7.1.3;6-7.1.3;7.2.GL6.18;L6.;Grootmotorische competenties;Fysieke vaardigheden;KLUSCE;De leerlingen kunnen in bewegingscontexten de KLUSCE-componenten kracht, lenigheid, uithouding, snelheid, coördinatie, evenwicht voldoende lang toepassen (conform de bewegingsdriehoek).*;;;;;;;
MD;6-;7.1.3;6-7.1.3;7.2.MD;;Grootmotorische competenties;Fysieke vaardigheden;;De leerlingen kunnen in bewegingscontexten de KLUSCE-componenten kracht, lenigheid, uithouding, snelheid, coördinatie, evenwicht voldoende lang toepassen (conform de bewegingsdriehoek).*;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZO.1;ZO.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen drijfmateriaal gebruiken om zich te ondersteunen.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZO.2;ZO.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen hun tempo aanpassen aan afstand en situatie.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZO.3;ZO.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen veilig stoppen, draaien en herstarten.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZO.4;ZO.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen armen en benen gecoördineerd inzetten om vooruit te komen.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZO.5;ZO.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen gestroomlijnd afstoten.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZO.6;ZO.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen springen combineren met onderdompeling en uitademing.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZO.7;ZO.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen in het water vanuit een verticale positie roteren rond hun lengte-as.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZW.1;ZW.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen het gezicht gedeeltelijk onder water brengen.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZW.2;ZW.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen hoofd en gezicht onderdompelen en belletjes blazen door mond.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZW.3;ZW.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen na onderdompeling zelfstandig weer rechtkomen of steun nemen.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZW.4;ZW.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen in ondiep water van buiklig naar ruglig roteren met steun.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZW.5;ZW.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen drijven met ondersteuning (op buik of rug).;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZW.6;ZW.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen spanning loslaten en een drijvende houding aannemen.;Sterretje maken met hun lichaam.;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZW.7;ZW.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen vanuit drijven terug rechtkomen of steun zoeken.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZW.8;ZW.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen zich voortbewegen in heupdiep water door te stappen en te springen.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZW.9;ZW.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen het water met de handen wegstuwen om hun verplaatsing te ondersteunen of te versnellen in ondiep water.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZW.10;ZW.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen hoofd en gezicht onderdompelen en belletjes blazen door mond en door de neus.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZZ.1;ZZ.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen drijven op buik en rug zonder hulpmiddelen.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZZ.2;ZZ.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen glijden combineren met drijven en rechtkomen.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZZ.3;ZZ.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen stuwende beenbewegingen uitvoeren in buik- en ruglig.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZZ.4;ZZ.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen glijden en aansluitend stuwende bewegingen uitvoeren.;;;;;;;
Z;6-;7.1.6;6-7.1.6;7.2.ZZZ.5;ZZ.;Grootmotorische competenties;Zwemmen;;De leerlingen kunnen armen en benen gecoördineerd gebruiken en hun horizontale houding behouden.;;;;;;;
